timestep,episode,step_in_episode,reward,cumulative_reward,done
296961,65,16425,0.7448346018791199,8987.01253271848,0
296962,65,16426,0.7543174624443054,8987.766850180924,0
296963,65,16427,0.7539836168289185,8988.520833797753,0
296964,65,16428,0.7544907331466675,8989.2753245309,0
296965,65,16429,0.7595701217651367,8990.034894652665,0
296966,65,16430,0.7564283013343811,8990.791322953999,0
296967,65,16431,0.7587451934814453,8991.55006814748,0
296968,65,16432,0.7647351026535034,8992.314803250134,0
296969,65,16433,0.7630264163017273,8993.077829666436,0
296970,65,16434,0.7645924091339111,8993.84242207557,0
296971,65,16435,0.7621397376060486,8994.604561813176,0
296972,65,16436,0.7693328261375427,8995.373894639313,0
296973,65,16437,0.773692786693573,8996.147587426007,0
296974,65,16438,0.7675533890724182,8996.91514081508,0
296975,65,16439,0.7769094109535217,8997.692050226033,0
296976,65,16440,0.7735984921455383,8998.465648718178,0
296977,65,16441,0.7807549834251404,8999.246403701603,0
296978,65,16442,0.7791023850440979,9000.025506086648,0
296979,65,16443,0.7795603275299072,9000.805066414177,0
296980,65,16444,0.7791019082069397,9001.584168322384,0
296981,65,16445,0.7849703431129456,9002.369138665497,0
296982,65,16446,0.7772876620292664,9003.146426327527,0
296983,65,16447,0.7851078510284424,9003.931534178555,0
296984,65,16448,0.7943824529647827,9004.72591663152,0
296985,65,16449,0.7899599075317383,9005.515876539052,0
296986,65,16450,0.7916999459266663,9006.307576484978,0
296987,65,16451,0.791632890701294,9007.09920937568,0
296988,65,16452,0.7986032366752625,9007.897812612355,0
296989,65,16453,0.8025447130203247,9008.700357325375,0
296990,65,16454,0.7996383905410767,9009.499995715916,0
296991,65,16455,0.8003733158111572,9010.300369031727,0
296992,65,16456,0.8052964806556702,9011.105665512383,0
296993,65,16457,0.8001811504364014,9011.90584666282,0
296994,65,16458,0.8040201663970947,9012.709866829216,0
296995,65,16459,0.8095817565917969,9013.519448585808,0
296996,65,16460,0.8149879574775696,9014.334436543286,0
296997,65,16461,0.8094817399978638,9015.143918283284,0
296998,65,16462,0.8128730058670044,9015.95679128915,0
296999,65,16463,0.8209831118583679,9016.777774401009,0
297000,65,16464,0.8177849054336548,9017.595559306443,0
297001,65,16465,0.8201838135719299,9018.415743120015,0
297002,65,16466,0.8196927905082703,9019.235435910523,0
297003,65,16467,0.8266903758049011,9020.062126286328,0
297004,65,16468,0.8261795043945312,9020.888305790722,0
297005,65,16469,0.8221946358680725,9021.71050042659,0
297006,65,16470,0.8244986534118652,9022.534999080002,0
297007,65,16471,0.8341661095619202,9023.369165189564,0
297008,65,16472,0.83111971616745,9024.200284905732,0
297009,65,16473,0.8377185463905334,9025.038003452122,0
297010,65,16474,0.8389298319816589,9025.876933284104,0
297011,65,16475,0.8395455479621887,9026.716478832066,0
297012,65,16476,0.8419522047042847,9027.55843103677,0
297013,65,16477,0.8367197513580322,9028.395150788128,0
297014,65,16478,0.8455249071121216,9029.24067569524,0
297015,65,16479,0.8472536206245422,9030.087929315865,0
297016,65,16480,0.8457160592079163,9030.933645375073,0
297017,65,16481,0.8490217924118042,9031.782667167485,0
297018,65,16482,0.8444697260856628,9032.62713689357,0
297019,65,16483,0.851516604423523,9033.478653497994,0
297020,65,16484,0.8594380617141724,9034.338091559708,0
297021,65,16485,0.8497790694236755,9035.187870629132,0
297022,65,16486,0.8565096855163574,9036.044380314648,0
297023,65,16487,0.865779459476471,9036.910159774125,0
297024,65,16488,0.8689826726913452,9037.779142446816,0
297025,65,16489,0.8699198365211487,9038.649062283337,0
297026,65,16490,0.8597306609153748,9039.508792944252,0
297027,65,16491,0.8638766407966614,9040.37266958505,0
297028,65,16492,0.875029444694519,9041.247699029744,0
297029,65,16493,0.8608298301696777,9042.108528859913,0
297030,65,16494,0.8690633773803711,9042.977592237294,0
297031,65,16495,0.8741849064826965,9043.851777143776,0
297032,65,16496,0.8799433708190918,9044.731720514596,0
297033,65,16497,0.8839932680130005,9045.615713782609,0
297034,65,16498,0.8676199913024902,9046.483333773911,0
297035,65,16499,0.8733729124069214,9047.356706686318,0
297036,65,16500,0.8760741353034973,9048.232780821621,0
297037,65,16501,0.8770445585250854,9049.109825380147,0
297038,65,16502,0.8772246837615967,9049.987050063908,0
297039,65,16503,0.8858844637870789,9050.872934527695,0
297040,65,16504,0.8795109391212463,9051.752445466816,0
297041,65,16505,0.8858090043067932,9052.638254471123,0
297042,65,16506,0.8948725461959839,9053.53312701732,0
297043,65,16507,0.8858217000961304,9054.418948717415,0
297044,65,16508,0.8914778828620911,9055.310426600277,0
297045,65,16509,0.8909316062927246,9056.20135820657,0
297046,65,16510,0.8922696113586426,9057.093627817929,0
297047,65,16511,0.8991492390632629,9057.992777056992,0
297048,65,16512,0.9062874913215637,9058.899064548314,0
297049,65,16513,0.8936077356338501,9059.792672283947,0
297050,65,16514,0.9000524282455444,9060.692724712193,0
297051,65,16515,0.8987109661102295,9061.591435678303,0
297052,65,16516,0.9043462872505188,9062.495781965554,0
297053,65,16517,0.9152153134346008,9063.410997278988,0
297054,65,16518,0.9036526083946228,9064.314649887383,0
297055,65,16519,0.9091215133666992,9065.22377140075,0
297056,65,16520,0.917092502117157,9066.140863902867,0
297057,65,16521,0.9225084185600281,9067.063372321427,0
297058,65,16522,0.9062099456787109,9067.969582267106,0
297059,65,16523,0.9135748147964478,9068.883157081902,0
297060,65,16524,0.9220463633537292,9069.805203445256,0
297061,65,16525,0.9125115871429443,9070.717715032399,0
297062,65,16526,0.9197034239768982,9071.637418456376,0
297063,65,16527,0.928698718547821,9072.566117174923,0
297064,65,16528,0.9203804135322571,9073.486497588456,0
297065,65,16529,0.9289183020591736,9074.415415890515,0
297066,65,16530,0.9380804896354675,9075.35349638015,0
297067,65,16531,0.9445673227310181,9076.298063702881,0
297068,65,16532,0.9319961667060852,9077.230059869587,0
297069,65,16533,0.9414441585540771,9078.171504028141,0
297070,65,16534,0.9396706819534302,9079.111174710095,0
