timestep,reward
0,0.17472095787525177
1,0.3482931778985343
2,0.5182174962930259
3,0.6856208613121689
4,0.852254404479619
5,1.0191789107736429
6,1.1867825040339048
7,1.355103037294097
8,1.5240507854568581
9,1.6935124108811332
10,1.8633899847759237
11,2.0336116811104246
12,2.2041313261262236
13,2.374924028262797
14,2.545981004976307
15,2.7173047085784785
16,2.888905032200099
17,3.060796447450124
18,3.2329960995635845
19,3.4055224501031818
20,3.5783944604748337
21,3.751631159406361
22,3.9252514144481396
23,4.099273821526647
24,4.2737166398632676
25,4.448597795307631
26,4.623934989785725
27,4.7997455957478286
28,4.976046690122968
29,5.152855099491148
30,5.330187449482894
31,5.508060151913027
32,5.686489434914886
33,5.865491312596748
34,6.045081718405111
35,6.225276370546318
36,6.406090965822293
37,6.587541016608575
38,6.76964194198219
39,6.952409174578173
40,7.135858059608205
41,7.320003933380749
42,7.504862157705077
43,7.690448080265595
44,7.876773821712336
45,8.063853938389714
46,8.251703930410107
47,8.440339440670702
48,8.629776290665568
49,8.82003042666703
50,9.011118074212165
51,9.20305565377683
52,9.395859815189311
53,9.58954750130808
54,9.784135936592687
55,9.979642689523606
56,10.176085674711114
57,10.373483049946545
58,10.57185349989797
59,10.771216012347471
60,10.97158998141111
61,11.172995235390244
62,11.375452078642803
63,11.578981213356887
64,11.783603779633218
65,11.989341484077503
66,12.196216489070002
67,12.404251405445873
68,12.61346938859079
69,12.823894099539572
70,13.035549754604187
71,13.248461025124863
72,13.462653204593423
73,13.678152091846353
74,13.894984022724357
75,14.113175880094296
76,14.33275518281381
77,14.55375000817384
78,14.776189090137079
79,15.000101754963296
80,15.225517899812298
81,15.452468014334885
82,15.680983140958686
83,15.911094922914069
84,16.14283556124427
85,16.37623780008675
86,16.6113348807079
87,16.84816058361251
88,17.08674918001498
89,17.327135441815056
90,17.56935462079363
91,17.813442367360405
92,18.059434797605878
93,18.30736838096554
94,18.557279976464706
95,18.809206809059386
96,19.063186445814292
97,19.319256772046764
98,19.577455937758554
99,19.837822423487356
100,20.10039486805988
101,20.365212224597915
102,20.632313589217375
103,20.901738298560176
104,21.173525819395447
105,21.44771569858272
106,21.724347752269992
107,22.003461868531797
108,22.285094267698515
109,22.56928390276872
110,22.856070908368082
111,23.145495621628186
112,23.437598359453283
113,23.73241949476571
114,24.029999384719545
115,24.330378419082724
116,24.633597039780845
117,24.93969567198124
118,25.248714745515834
119,25.560694598023794
120,25.875675647209682
121,26.193698206366584
122,26.514802539189287
123,26.839028945317768
124,27.16641763874641
125,27.497008711062936
126,27.830842217710845
127,28.16795788314417
128,28.50839546155986
129,28.852194502496033
130,29.19939432745316
131,29.550034366664523
132,29.90405761728493
133,30.261415431959215
134,30.622156613089086
135,30.986330535225147
136,31.3539872718272
137,31.725177571078518
138,32.09995271075454
139,32.47836456017067
140,32.86046555139976
141,33.24630858978317
142,33.635946993578635
143,34.0294346115841
144,34.42682576141052
145,34.8281750781332
146,35.23353748213214
147,35.64296838552861
148,36.056522717563304
149,36.47425094758893
150,36.8962090356152
151,37.322453063852194
152,37.75303947669707
153,38.188024695849776
154,38.627465332546834
155,39.071418192330526
156,39.519940072416254
157,39.973087828539185
158,40.43091850270615
159,40.89348891582171
160,41.360855947091984
161,41.83307666574597
162,42.31010607774649
163,42.79190050176914
164,43.278508763556815
165,43.76998046881607
166,44.26636580506578
167,44.76771564032654
168,45.274081620676164
169,45.78551602830451
170,46.302071698148204
171,46.82380232097561
172,47.3507622091095
173,47.88300635950806
174,48.42059051662658
175,48.96357095477856
176,49.512005038120925
177,50.06595081167862
178,50.625467046130204
179,51.19061352813908
180,51.76145087010054
181,52.33804007773451
182,52.92044324644025
183,53.508723121551014
184,54.102942893579424
185,54.703166526703754
186,55.30945866711003
187,55.92188436990801
188,56.54050936022537
189,57.16539981553706
190,57.79662220604377
191,58.43424355108372
192,59.07833101905563
193,59.72895224211451
194,60.386174975069785
195,61.050067290902376
196,61.72069729991879
197,62.39813322728761
198,63.08244343197287
199,63.773696188472385
200,64.47195982760005
201,65.17730246161464
202,65.88979212829341
203,66.60949699642725
204,67.33648467914126
205,68.07082274125605
206,68.81257849336801
207,69.5618187879087
208,70.31861041322303
209,71.08301971471663
210,71.85511097553551
211,72.6349431315858
212,73.42258122578205
213,74.21809005541732
214,75.02153404001557
215,75.83297667341037
216,76.65248140771814
217,77.4801111676723
218,78.31592804497441
219,79.15999370899324
220,80.01236934165627
221,80.87311533484427
222,81.74229140588696
223,82.61988331429178
224,83.5057004857819
225,84.39980279828453
226,85.30225069769575
227,86.2131055676527
228,87.13242888718739
229,88.06028305183065
230,88.9967306399757
231,89.94183474712446
232,90.89565901754294
233,91.85826731412546
234,92.82972362137528
235,93.81009248123762
236,94.79943853147668
237,95.79782657762217
238,96.80532154335312
239,97.82198818064063
240,98.84789143424734
241,99.8830960305818
242,100.92766678152381
243,101.98166793475527
244,103.04516395521448
245,104.11821851941733
246,105.20089553769441
247,106.29325803233057
248,107.38655828560093
249,108.47030177974253
250,109.54463395323464
251,110.60969751292815
252,111.6656327540871
253,112.71257776381239
254,113.75066838865625
255,114.7800382048325
256,115.80081825256666
257,116.81313748818634
258,117.8171129548566
259,118.81286899025959
260,119.8005274152903
261,120.78020738435461
262,121.75202686131203
263,122.7161009381216
264,123.67254283732048
265,124.62146342586884
266,125.56297150520409
267,126.4971738045143
268,127.42416688707621
269,128.34371948617016
270,129.2559290022404
271,130.16089196950986
272,131.05870375970576
273,131.94945906024967
274,132.83325152223867
275,133.71017509148217
276,134.5803227030551
277,135.44378703197034
278,136.30066053782627
279,137.1510349076524
280,137.99500210205994
281,138.83265319014154
282,139.66407872852253
283,140.48936877765712
284,141.308613628805
285,142.1219021428511
286,142.9293233640636
287,143.73096527020707
288,144.52691518961038
289,145.31725991892438
290,146.1020852441797
291,146.8814764750754
292,147.6555179665143
293,148.42429317760664
294,149.18788455336363
295,149.9463733486787
296,150.69984022940912
297,151.44836438586003
298,152.1920243775449
299,152.93089701390187
300,153.66505826458703
301,154.39458256352563
302,155.11954354657726
303,155.840013540584
304,156.5560630554445
305,157.26776194806075
306,157.97517874136463
307,158.67838018447233
308,159.3774320074917
309,160.072398665435
310,160.76334302478628
311,161.45032688658247
312,162.12591482126734
313,162.7985560280491
314,163.47273252016691
315,164.13164450549155
316,164.78555750143
317,165.4312587633948
318,166.0747678136038
319,166.71654164200322
320,167.34083739602778
321,167.9629974350781
322,168.58302479163606
323,169.199875361534
324,169.79963632057587
325,170.3984088565907
326,170.99509468002717
327,171.5773935998198
328,172.15817765678045
329,172.72993640448206
330,173.2987538917861
331,173.8554744779152
332,174.40988633439576
333,174.95437674908942
334,175.49679135072148
335,176.0269077088258
336,176.5545054711407
337,177.07305156247475
338,177.5901218956017
339,178.0948424553722
340,178.59718060558865
341,179.09110141503373
342,179.5839455395531
343,180.06449851929054
344,180.5428033216166
345,181.01319115872687
346,181.482835505159
347,181.94023782656697
348,182.39549070273785
349,182.84327269370903
350,183.29060553466633
351,183.7257405881671
352,184.15881463550377
353,184.58482996985106
354,185.01066739960046
355,185.4243659995667
356,185.83610008948074
357,186.24116419725658
358,186.64631153964544
359,187.0394047213846
360,187.43064655864083
361,187.81558986391877
362,188.20087639718662
363,188.5742212100709
364,188.94584724644568
365,189.31153335414353
366,189.67782498650388
367,190.03231246638344
368,190.38523152897682
369,190.73255709642697
370,191.08075280940162
371,191.41730257025884
372,191.75244850377794
373,192.08233400298008
374,192.41335462286716
375,192.74560949163651
376,193.06232168755793
377,193.38082505541104
378,193.70028869746525
379,194.01918785991418
380,194.33630239671822
381,194.6512025230308
382,194.96399725983753
383,195.27499862574678
384,195.5845386321317
385,195.89290248269194
386,196.20031377815175
387,196.5069387065638
388,196.8128969293537
389,197.11827396732585
390,197.42313210997122
391,197.7275185454817
392,198.03147157330503
393,198.33502456890287
394,198.63820794432
395,198.94105036058463
396,199.2435794423416
397,199.54582161170603
398,199.84780254529034
399,200.14954657703416
400,200.4510770699821
401,200.75241620023306
402,201.0535849633257
403,201.35460304272627
404,201.65548919131516
405,201.956260869616
406,202.25693438946206
407,202.55752505488923
408,202.85804712131593
409,203.15851387144667
410,203.45893768971578
411,203.7593298979187
412,204.05970103852897
413,204.3600608018871
414,204.66041798540653
415,204.9607806639972
416,205.26115630383248
417,205.56155158114845
418,205.86197256174847
419,206.16242476429267
420,206.46291322646377
421,206.76344239504382
422,207.06401649533683
423,207.3646392174787
424,207.66531397111294
425,207.9660438439838
426,208.26683180067823
427,208.5676805551437
428,208.86859271283046
429,209.16957079490797
430,209.47061735302768
431,209.7717349361123
432,210.07292602827275
433,210.37419337499261
434,210.67553965437145
435,210.97696792396968
436,211.27848135308983
437,211.58008346232543
438,211.8817777676671
439,212.18356843846632
440,212.4854598532605
441,212.78745672238452
442,213.08956424089274
443,213.39178809299864
444,213.69413436759538
445,213.99660962326325
446,214.29922110275794
447,214.60197638171437
448,214.90488379259222
449,215.20795222319333
450,215.51119124345163
451,215.81461118550013
452,216.11822486325843
453,216.42204657193244
454,216.7260920230353
455,217.03037830351536
456,217.33492391824643
457,217.6397486475246
458,217.9448732503165
459,218.25031958105933
460,218.5561103767175
461,218.86226922256967
462,219.1688202215943
463,219.47578820338526
464,219.78319852019743
465,220.09107669933198
466,220.39944872748674
467,220.70834071592756
468,221.0177789600837
469,221.3277897381008
470,221.63839941459983
471,221.94963419387852
472,222.26152020779136
473,222.57408337175636
474,222.88734960456426
475,223.20134430888706
476,223.5160928405691
477,223.831620118487
478,224.14795095403443
479,224.46510975865752
480,224.7831205528542
481,225.10200694838312
482,225.42179237150378
483,225.74249999040407
484,226.0641524359001
485,226.38677194093458
486,226.7103804813576
487,227.03499964953014
488,227.36065085657933
489,227.6873548200573
490,228.01513200576466
491,228.34400277193953
492,228.6739867984838
493,229.00510344029306
494,229.33737187213998
495,229.6708107866963
496,230.00543842054992
497,230.3412727592346
498,230.67833141464
499,231.0166315325103
500,231.35618984917642
501,231.6970227715451
502,232.03914562842192
503,232.3825734780993
504,232.72732050929199
505,233.07340039897565
506,233.4208261961525
507,233.7696103575404
508,234.11976499451382
509,234.47130164547758
510,234.82423152681912
511,235.1785652188853
512,235.53431312755916
513,235.89148526069462
514,236.2500913620482
515,236.61014083614864
516,236.97164303001196
517,237.3346070966067
518,237.6990418869119
519,238.06495634720946
520,238.43235925921104
521,238.80125933620633
522,239.17166519832736
523,239.54358555470608
524,239.91702932430988
525,240.2920052483954
526,240.66852242513454
527,241.04658973986636
528,241.42621654540855
529,241.80741208908006
530,242.19018589185566
531,242.5745477684172
532,242.96050772656676
533,243.3480757758722
534,243.73726248006892
535,244.12807867374633
536,244.52053514804845
537,244.9146432292999
538,245.31041437306925
539,245.70786053204804
540,246.1069939566838
541,246.50782714385934
542,246.91037290384884
543,247.31464442637002
544,247.7206552265485
545,248.1284192092323
546,248.53795067285967
547,248.94926407407834
548,249.36237462601085
549,249.7772975247975
550,250.19404848663115
551,250.6126437177396
552,251.03309949612802
553,251.45543267642984
554,251.8796605496439
555,252.3058005716289
556,252.7338709097301
557,253.1638901914555
558,253.59587707338562
559,254.02985085205327
560,254.4658311498488
561,254.90383780851872
562,255.34389116919255
563,255.78601187482474
564,256.23022067204045
565,256.6765388979972
566,257.12498780466194
567,257.5755889558161
568,258.0283643260048
569,258.48333601213625
570,258.9405262432855
571,259.3999571821529
572,259.86165168054754
573,260.32563227695334
574,260.79192168469416
575,261.26054271438386
576,261.7315183757695
577,262.2048716821613
578,262.6806255449146
579,263.1588031454142
580,263.6394275328783
581,264.1225219381198
582,264.6081094621607
583,265.09621312318654
584,265.58685578500524
585,266.0800606822618
586,266.57585063506
587,267.0742485755976
588,267.57527736023957
589,268.0789598207072
590,268.5853185775315
591,269.09437621181917
592,269.6061553780826
593,270.120678262083
594,270.63796729103115
595,271.1580447715504
596,271.68093258789264
597,272.2066528544599
598,272.7352271980544
599,273.26667776928133
600,273.8010259299937
601,274.3382932063108
602,274.8785009904695
603,275.42167034963177
604,275.9678226067632
605,276.51697857879833
606,277.06915923656885
607,277.624384934968
608,278.1826763723643
609,278.7440539413785
610,279.30853803399606
611,279.8761487512191
612,280.44690603049946
613,281.02083007165476
614,281.59794057110287
615,282.1782573273448
616,282.76180013147587
617,283.3485883002868
618,283.93864158043516
619,284.5319793838008
620,285.1286212745992
621,285.7285867412518
622,286.33189496822376
623,286.9385650846254
624,287.5486168299316
625,288.1620692526023
626,288.7789416734944
627,289.39925339736413
628,290.02302366254975
629,290.65027188841094
630,291.2810173860377
631,291.915279605098
632,292.55307790351713
633,293.1944316148434
634,293.83936041328224
635,294.48788378429276
636,295.1400213292754
637,295.7957927718508
638,296.45521760611877
639,297.11831575780144
640,297.7851071721004
641,298.45561181838264
642,299.12984951564664
643,299.8078405324421
644,300.4896046962657
645,301.1751624098999
646,301.8645340580218
647,302.55774018826935
648,303.2548009170493
649,303.95573706348324
650,304.66056913719615
651,305.36931775623077
652,306.08200370695414
653,306.79864794398645
654,307.51927141094944
655,308.24389515888026
656,308.9725401066679
657,309.70522727799016
658,310.4419779784091
659,311.18281350008016
660,311.9277550004422
661,312.6768238552057
662,313.4300415354955
663,314.1874293655063
664,314.9490086971324
665,315.7148011439602
666,316.4848279209749
667,317.2591107337967
668,318.0376713564502
669,318.820530732161
670,319.60771063704067
671,320.3992324826661
672,321.19511802594786
673,321.9953881716163
674,322.8000643376953
675,323.60916827126636
676,324.42272108940415
677,325.2407438698848
678,326.0632577055224
679,326.8902836393843
680,327.72184277892745
681,328.557955993022
682,329.3986441455523
683,330.2439277331201
684,331.0938275957932
685,331.9483640187013
686,332.8075574431412
687,333.67142792617574
688,334.53999543490033
689,335.41328031973023
690,336.2913018805556
691,337.17407985374666
692,338.0616338728215
693,338.9539831677677
694,339.8511469202448
695,340.7531438441635
696,341.65999301819846
697,342.5717130496113
698,343.4883224304037
699,344.40983917845205
700,345.33628101532423
701,346.26766619998045
702,347.20401257455944
703,348.1453370270175
704,349.0916568597133
705,350.04298919459455
706,350.9993510333165
707,351.96075860232975
708,352.9272282479173
709,353.8987764373853
710,354.87541898561085
711,355.85717111625786
712,356.8440483576523
713,357.8360663659516
714,358.8332399736245
715,359.8355836089925
716,360.8431121927446
717,361.8558397696048
718,362.8737804646941
719,363.8969478902677
720,364.9253557446335
721,365.95901745746477
722,366.9979461927999
723,368.0421546136673
724,369.0916556004157
725,370.146461657761
726,371.2065845602571
727,372.2720359514341
728,373.34282806212957
729,374.4189722830219
730,375.5004794060546
731,376.5873608194837
732,377.6796268418428
733,378.768699722014
734,379.85250899510095
735,380.9310993380259
736,382.0045146072067
737,383.07279903311485
738,384.1359960305405
739,385.19414927371895
740,386.24730162557216
741,387.29549573575525
742,388.3387742809463
743,389.377179608958
744,390.41075385954974
