timestamp,pos_x,pos_y,pos_z,pitch,roll,yaw,servo_angle
1.1845860481262207,1.8444114,-2.115575,0.7977895,0.001175095,-0.024550915,-0.8981972,0.0
1.2250733375549316,1.844816,-2.1155186,0.7977574,0.0014977389,-0.024437133,-0.89846224,59.012703
1.2663941383361816,1.845039,-2.1152878,0.7976807,0.0024181262,-0.024206484,-0.8988711,59.012703
1.3049366474151611,1.8456287,-2.1153388,0.79791015,0.0014884527,-0.024438906,-0.8993051,59.012703
1.3460514545440674,1.8460637,-2.1147306,0.79788244,0.0042133094,-0.024674438,-0.8999351,59.012703
1.3845765590667725,1.8463513,-2.1147165,0.79785603,0.0041605304,-0.025057882,-0.9002087,59.012703
1.4239022731781006,1.8465078,-2.1147437,0.797577,0.0038309854,-0.025171971,-0.9004833,59.012703
1.4635937213897705,1.8469069,-2.1143396,0.7973278,0.0040488234,-0.02555135,-0.9008726,59.012703
1.5025384426116943,1.8473353,-2.1141028,0.7971366,0.004533277,-0.025382606,-0.9012877,59.012703
1.5779359340667725,1.8486012,-2.11351,0.7967303,0.005340489,-0.024827676,-0.9016968,59.012703
1.616692304611206,1.8486425,-2.1132152,0.7967418,0.0058263927,-0.02465837,-0.9019609,59.012703
1.6548385620117188,1.8492459,-2.112988,0.7967259,0.006962587,-0.024262514,-0.90233624,59.012703
1.6940953731536865,1.8498354,-2.1124692,0.79640895,0.0076672244,-0.024201192,-0.9027513,59.012703
1.7325234413146973,1.8503447,-2.1120405,0.7963352,0.00837082,-0.024139037,-0.90313375,59.012703
1.7722430229187012,1.8508207,-2.111586,0.7962223,0.00918209,-0.0241328,-0.90381926,59.012703
1.8103957176208496,1.8512485,-2.1109505,0.796432,0.010484866,-0.024229677,-0.9044688,59.012703
1.8508260250091553,1.85148,-2.1105351,0.79630923,0.011405992,-0.024278097,-0.9051547,59.012703
1.869234323501587,1.8524337,-2.110167,0.7967154,0.01243695,-0.024380567,-0.90584046,59.012703
1.9078500270843506,1.8525531,-2.109861,0.7965959,0.012760042,-0.024269586,-0.90610844,59.012703
1.946716547012329,1.8528464,-2.1093576,0.7964986,0.013411151,-0.02431812,-0.9063418,59.012703
